id,food,title,title_img_url,servings,time,level,view_count
1 ,소떡강정,소떡강정 만드는 법 소떡소떡보다 만들기 쉬운 소떡강정레시피,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/8d1cce0024f7ab704001602df86b70081.jpg,2 ,15 ,2 ,0
2 ,허니 버터 고구마,달달한게 생각날땐 허니 버터 고구마로.. 에프로 간단하게 만들어요~,https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/df3c7c2785745efa710cbcce215447811.jpg,3 ,30 ,1 ,0
3 ,고구마또띠아,[고구마또띠아]부드럽고 달달한 맛 ~ 아이들간식으로도 좋아요,https://recipe1.ezmember.co.kr/cache/recipe/2022/04/17/863bf29b060c81c338b997da9316df4f1.jpg,1 ,10 ,1 ,0
4 ,고구마치즈빵,화덕만두 느낌으로 프라이팬에 구워낸 고구마치즈빵,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/12/af62a74e55ed404e388bfe23b38e27c31.jpg,4 ,60 ,1 ,0
5 ,마늘종 캔참치 볶음밥,마늘종 캔참치 볶음밥:마늘쫑 들어가기 전에 많이 먹어줘야죠,https://recipe1.ezmember.co.kr/cache/recipe/2022/05/23/fb4d077b2853f29894bb9096bd2973de1.jpg,4 ,20 ,1 ,0
6 ,새송이버섯간장버터구이,버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/25/39ac1e73e998e88da300d38663242f0a1.jpg,1 ,15 ,1 ,0
7 ,칠리새우,칠리새우ㅣ쉬림프 박스 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/17/7c94e88fca13cf73f8e0e473e02357e01.jpg,2 ,30 ,1 ,0
8 ,묵은지등갈비찜,#묵은지요리 #묵은지등갈비찜만들기 #돼지등갈비요리 #묵은지등갈비찜만드는법 #생강파채,https://recipe1.ezmember.co.kr/cache/recipe/2022/09/07/99b1d70cd81fbd12cf46a2e308a61ab51.jpg,6 ,90 ,1 ,0
9 ,봄동 된장무침,봄동 된장무침,https://recipe1.ezmember.co.kr/cache/recipe/2017/03/02/0be911fa88df72b74cf79b29e1ef38711.jpg,6 ,15 ,1 ,0
10 ,떡 베이컨 간장조림,달콤 짭조름♡ 떡 베이컨 간장조림♡,https://recipe1.ezmember.co.kr/cache/recipe/2016/02/16/d74c6731fce3dc72c5579b24083185f11.jpg,3 ,5 ,1 ,0
11 ,배추 된장 들깨무침,배추 된장 들깨무침,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/24/2c6c4f254ed62c12403dc3b4acd1d6551.jpg,2 ,15 ,2 ,0
12 ,꽈리고추 햄볶음,【간단반찬】꽈리고추 햄볶음 만들기~,https://recipe1.ezmember.co.kr/cache/recipe/2018/03/22/779982ef4e8f9c32c472297e632789a91.jpg,3 ,10 ,1 ,0
13 ,팽이버섯 덮밥,♥[신혼밥상] 팽이버섯 덮밥,https://recipe1.ezmember.co.kr/cache/recipe/2020/06/03/4f573fef12f96ef7576c9d0f9603e1b51.jpg,1 ,10 ,1 ,0
14 ,베이컨 버섯볶음,간단하게 맛난 반찬 만들기 '베이컨 버섯볶음',https://recipe1.ezmember.co.kr/cache/recipe/2021/01/20/fe2043bd8a9471a57829286754cf21581.jpg,2 ,15 ,1 ,0
15 ,마늘종볶음,[마늘종볶음]단짠단짠 자꾸만 손이가요~,https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/b5b240a7490c8be73852f1a7563d352d1.jpg,3 ,20 ,1 ,0
16 ,부추 달걀 볶음,백종원의 부추 달걀 볶음,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/27/bbc059c608dd01cfa43ebcb45c1882a81.jpg,2 ,15 ,1 ,0
17 ,소세지강정,#최애반찬#소세지강정,https://recipe1.ezmember.co.kr/cache/recipe/2020/05/18/2cad62498784efd2b97c0f80abebfcff1.jpg,2 ,20 ,2 ,0
18 ,시금치달걀볶음,볶아 먹는 시금치도 맛있다♪ 시금치달걀볶음,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/09/9025fd8fdc716755317050bf74df79f91.JPG,4 ,15 ,1 ,0
19 ,상추겉절이,♥[신혼밥상] 5분 반찬 상추겉절이,https://recipe1.ezmember.co.kr/cache/recipe/2020/03/26/6d6107810146e718ca42320cef0833c01.jpg,2 ,5 ,1 ,0
20 ,새우숙주볶음,간단한 반찬 새우숙주볶음 맵지 않아서 아이들도 잘 먹어요.,https://recipe1.ezmember.co.kr/cache/recipe/2021/03/03/f308636e26ec3e5e3ede271565a964791.jpg,4 ,30 ,1 ,0
21 ,스팸 돈부리덮밥,스팸 돈부리덮밥!반찬이 필요없는 초간단 한그릇 요리,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/08/1425b54008417baec4cf781ab54bc94c1.jpg,2 ,120 ,1 ,0
22 ,식빵딸기쨈파이,식빵요리 식빵딸기쨈파이 아이간식 에어프라이어요리,https://recipe1.ezmember.co.kr/cache/recipe/2022/04/05/c7b3ee319c5d650478453f7b29201bad1.jpg,1 ,10 ,2 ,0
23 ,팽이버섯 베이컨 볶음,팽이버섯 베이컨 볶음,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/21/5a445b781e9c72a54afb51895eecf50a1.jpg,2 ,10 ,1 ,0
24 ,새우당면 덮밥,매콤하게 즐기는 새우당면 덮밥,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/0d52cda0d7e6cb717a662f9cdbedb1c1.jpg,2 ,30 ,2 ,0
25 ,미니 새송이버섯 조림,미니 새송이버섯 조림,https://recipe1.ezmember.co.kr/cache/recipe/2018/11/02/f382bfc309ca19fa6c29507e871145671.jpg,6 ,30 ,1 ,0
26 ,두부시금치무침,두부시금치무침 이 레시피가 제일 맛있네요,https://recipe1.ezmember.co.kr/cache/recipe/2016/12/08/34ba5bf522b2964e97b70dcd5b62dcb31.jpg,3 ,15 ,1 ,0
27 ,메추리알조림,♥[신혼밥상] 10분 반찬! 메추리알조림,https://recipe1.ezmember.co.kr/cache/recipe/2019/07/24/c3e2a76338282c7a32cab50b4c5437b21.jpg,4 ,15 ,2 ,0
28 ,두반장파스타,짭조름하고 매콤한 두반장파스타,https://recipe1.ezmember.co.kr/cache/recipe/2021/10/26/9274c2a03ac24463dbe571a71f22fd791.jpg,1 ,20 ,1 ,0
29 ,화이트어니언,"피자, 치킨에 너무 잘어울리는 '화이트어니언'",https://recipe1.ezmember.co.kr/cache/recipe/2021/02/05/bc52298047c9bef6ea5056411fbef6a21.jpg,2 ,15 ,1 ,0
30 ,모닝빵콘치즈,모닝빵콘치즈 간단간식,https://recipe1.ezmember.co.kr/cache/recipe/2018/01/05/45b38a0a874f30a5eb35c177c27d359d1.jpg,2 ,30 ,1 ,0
