id,recipe_id,recipe_step,recipe_content,recipe_img_url
1,1,1,분량의 강정양념을 만들어주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/48f0fa97d4dc000b0b6c532e5370dd3e1.jpg
2,1,2,떡은 물에 한번 헹궈서 준비해주시고 냉동떡은 해동후 사용해주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/8e1c827178a0c5a9a074b1ce84fd00ae1.jpg
3,1,3,팬에 기름을 넉넉하게 두르고 떡과 소세지를 넣어주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/b91c944e1839a5474fc297d142b61fc91.jpg
4,1,4,후 떡이 몰랑몰랑 잘 익을때까지 기름에 노릇하게 튀기듯이 볶아주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/db18059a723671cb51aa81e78d83f6761.jpg
5,1,5,떡과 소세지가 잘 익으면 만들어뒀던 강정양념을 넣어주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/bcaef3e86f53eaa0b4959d07fdf00b1c1.jpg
6,1,6,골고루 잘 양념이 베이도록 약불에서 휘리릭 볶아주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/e46227257f60a954b58ea8ea3668451f1.jpg
7,1,7,양념이 잘 베이게 볶았다면 마무리로 통깨 넉넉하게 뿌려주세요.,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/78278e38d8cc3fe5718fc04f158ed27b1.jpg
8,1,8,"소떡소떡꼬치보다 만들기 쉬운 소떡 강정이었어요.
젓가락으로 콕콕 찍어드세요.",https://recipe1.ezmember.co.kr/cache/recipe/2022/07/19/de88cf6bf404bac080708c317ab9f8441.jpg
9,2,1,"우선 고구마 2개
깨끗히 씻어줍니다",https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/1f5ffd81f6a477b59ae7ff0d9fd53fbc1.jpg
10,2,2,"그 다음 에어프라이어에 구워줍니다.
저는 설정이 15분 되있는거라 15분 돌렸는데 이건 에어프라이어 사양에 따라 달라지니 보시면서 구우세요~
에어프라이어",https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/5a977934d46ea01de7913aeaf1e87a351.jpg
11,2,3,"15분 후..
젓가락으로 찔러보니 잘 익엇어요
이제 반을 갈라주는데 끄트머리는 남겨 떨어지지 않게 칼집을 내줍니다.",https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/d66f70a922fcb1f339de903b86c9ff111.jpg
12,2,4,"그 다음 버터 한조각씩 올려주고 꿀을 듬뿍 뿌려줍니다
달달한거 좋아하심 듬뿍 뿌려도 됩니다.",https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/db7efe1b3b361ad26a852a7bda0791ae1.jpg
13,2,5,그 다음 모짜렐라 치즈 올려주고 파슬리 가루 조금 뿌려줍니다.,https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/5febef73bd78fce30facd06ada7036711.jpg
14,2,6,"그 다음 치즈가 녹을정도로만 에어프라이어에 넣고 돌려주면 됩니다.
이렇게 허니 버터 고구마 완성~",https://recipe1.ezmember.co.kr/cache/recipe/2021/12/03/15c3fc4c5b50f58067bd3afc075310341.jpg
