id,recipe_id,ingredient_id,ingredient_amount
1,1,180,300g
2,1,264,2ÁÜ
3,1,87,Àû´ç·®
4,1,202,Àû´ç·®
5,1,56,1½ºÇ¬
6,1,213,1½ºÇ¬
7,1,133,1½ºÇ¬
8,1,124,2½ºÇ¬
9,1,91,2½ºÇ¬
10,1,170,3½ºÇ¬
11,2,171,2°³
12,2,234,2Á¶°¢
13,2,294,4Å«¼ú
14,2,123,1ºÀÁö
15,2,239,Á¶±Ý
16,3,171,150g
17,3,14,2°³
18,3,227,1Àå
19,3,218,2Àå
20,3,87,2½ºÇ¬
21,3,188,1²¿Áý
22,4,171,200g
23,4,29,2½ºÇ¬
24,4,294,1½ºÇ¬
25,4,292,120g
26,4,234,2½ºÇ¬
27,4,185,100g
28,4,222,0.3Á¾ÀÌÄÅ
29,4,12,10g
30,4,188,1²¿Áý
31,5,113,200g
32,5,243,1Å«¼ú
33,5,4,0.25°³
34,5,25,2°ø±â
35,5,188,Àû´ç·®
36,5,76,1°³
37,5,220,0.5Å«¼ú
38,5,77,Àû´ç·®
39,5,202,Àû´ç·®
40,6,104,2°³
41,6,234,30g
42,6,35,
43,6,213,1½ºÇ¬
44,6,96,1½ºÇ¬
45,6,91,0.5½ºÇ¬
46,7,120,1Á¾ÀÌÄÅ
47,7,133,1½ºÇ¬
48,7,234,1Á¶°¢
49,7,87,2½ºÇ¬
50,7,170,2½ºÇ¬
51,7,214,1½ºÇ¬
52,7,124,1½ºÇ¬
53,7,213,1½ºÇ¬
54,7,271,1½ºÇ¬
55,7,277,Àû´ç·®
56,8,223,1kg
57,8,7,1Æ÷±â
58,8,54,2±¹ÀÚ
59,8,133,3Å«¼ú
60,8,247,1Å«¼ú
61,8,65,300g
62,8,100,3Å«¼ú
63,8,192,1L
64,9,102,600g
65,9,274,2Å«¼ú
66,9,133,1Å«¼ú
67,9,182,2Å«¼ú
68,9,56,1Å«¼ú
69,9,100,2Å«¼ú
70,9,83,1Å«¼ú
71,9,202,1Å«¼ú
72,9,188,Àû´ç·®
73,10,20,
74,10,122,
75,10,176,
76,10,213,
77,10,83,
78,10,38,
79,10,87,
80,11,221,10Àå
81,11,182,1Æ¼½ºÇ¬
82,11,233,1Æ¼½ºÇ¬
83,11,83,1Æ¼½ºÇ¬
84,12,304,20°³
85,12,282,140g
86,12,231,0.5°³
87,12,196,2½ºÇ¬
88,12,224,0.5½ºÇ¬
89,12,293,3ÂÊ
90,12,91,2½ºÇ¬
91,12,87,1½ºÇ¬
92,12,83,1½ºÇ¬
93,13,51,1ºÀ
94,13,122,1ÁÜ
95,13,231,0.5°³
96,13,14,1°³
97,13,83,Àû´ç·®
98,13,202,Àû´ç·®
99,13,213,2½ºÇ¬
100,13,224,0.5½ºÇ¬
101,13,124,0.5½ºÇ¬
102,13,96,2½ºÇ¬
103,13,277,3Å«¼ú
104,14,20,5ÁÙ
105,14,231,0.5°³
106,14,206,7°³
107,14,133,1Æ¼½ºÇ¬
108,14,224,1Æ¼½ºÇ¬
109,15,308,50g
110,15,277,0.25ÄÅ
111,15,113,300g
112,15,188,0.3Å«¼ú
113,15,124,2Å«¼ú
114,15,213,4Å«¼ú
115,15,87,4Å«¼ú
116,15,83,2Å«¼ú
117,15,38,1.5Å«¼ú
118,15,202,1Å«¼ú
119,16,190,1ÁÜ
120,16,14,4°³
121,16,87,2Å«¼ú
122,16,25,2°ø±â
123,16,224,1Å«¼ú
124,16,83,1Å«¼ú
125,17,180,30°³
126,17,231,1°³
127,17,170,5Å«¼ú
128,17,213,1½ºÇ¬
129,17,124,1½ºÇ¬
130,17,271,1½ºÇ¬
131,17,224,1½ºÇ¬
132,17,91,1½ºÇ¬
133,18,82,0.5´Ü
134,18,14,3°³
135,18,87,2½ºÇ¬
136,18,274,1ÁÜ
137,18,188,3²¿Áý
138,19,200,20Àå
139,19,214,2Å«¼ú
140,19,133,1Å«¼ú
141,19,213,1Å«¼ú
142,19,124,1½ºÇ¬
143,19,271,2Å«¼ú
144,19,83,1Å«¼ú
145,19,202,1Å«¼ú
146,20,26,300g
147,20,212,10¸¶¸®
148,20,14,2°³
149,20,231,0.5°³
150,20,122,0.3°³
