id,tip_content
1,햄 통조림 쉽게 빼는 방법으로 통조림 밑부분을 따뜻한 물에 잠깐 담가주면 쉽게 뺄 수 있습니다.
2,계란을 삶을 때 소금과 식초를 넣어주면 계란을 깨뜨리지 않고 껍질을 쉽게 분리할 수 있습니다.
3,부추 특유의 아린 맛을 제거하기 위해서 깨끗이 씻은 부추를 사이다에 15분 담가주면 됩니다.
4,재료를 노릇노릇하게 잘 익히려면 곁에 있는 물기를 제거해 주어야 합니다.
5,냉동고기를 40도 미온수에 설탕을 넣어주면 빠르게 해동시킬 수 있습니다.
6,고추의 씨와 막을 제거하면 매운 맛을 줄일 수 있습니다.
7,기름에 튀기는 요리를 할 때 나무젓가락을 넣어서 거품이 일면 온도가 준비된 상태입니다.
8,마늘과 양파는 물에 담가 놓으면 강한 맛이 감소됩니다.
9,고기를 재울 때에는 지퍼백에 넣거나 볼에 담아 랩으로 씌워놓고 중간에 한 번 뒤집어 주면 좋습니다.
10,"버터는 지퍼백에 넣어서 보관하고, 가장 차가운 냉장고의 안쪽에 보관하면 산패를 예방할 수 있습니다."
11,견과류를 팬에 살짝 볶으면 안의 기름을 활성화 시켜서 더욱 강하고 깊은 맛을 이끌어낼 수 있습니다.
12,육류 고기를 간할 때에는 굵은 소금을 사용하면 골고루 간이 되고 고기 표면에 더욱 잘 달라붙습니다.
13,음식이 차가워지면 맛과 향이 약해지기 때문에 차가운 음식은 간을 더 강하게 해줍니다.
14,"음식이 너무 짜다면 식초, 레몬, 꿀, 또는 메이플 시럽 등을 넣어서 짠 맛을 약간 조절할 수 있습니다."
15,"음식이 너무 맵다면 버터, 크림, 치즈, 설탕 등을 넣어서 매운맛을 줄여줄 수 있습니다."
16,라면이 싱거울 때에는 액젓을 한 두 방울 떨어뜨려주면 간을 조절할 수 있습니다.
17,라면이 조리되기 1분 전에 설탕 반 스푼을 넣어주면 분식집 라면 맛을 낼 수 있습니다.
18,"생선을 구울 때, 생선 양쪽에 밀가루를 약간 묻혀서 튀겨주면 기름이 튀는것을 방지할 수 있습니다."
19,얼린 밥을 데울 때에는 얼음 한 조각을 밥 위에 올리고 돌려주면 촉촉한 밥이 완성됩니다.
20,돼지고기에 콜라를 붓고 10분 정도 재워두면 돼지고기 잡내를 잡을 수 있습니다.
21,먹고 남은 볶음요리를 다시 볶을 때에는 기름보다는 따뜻한 물을 조금씩 넣어서 볶아주면 좋습니다.
22,감자 박스에 사과 한 개를 넣어주면 감자의 발육 억제작용을 해서 싹이 자라는 것을 늦출 수 있습니다.
23,과일을 냉장보관 할 때에는 냉장고 내부에 신문지를 깔아 습기를 제거해주면 더욱 오래 보관할 수 있습니다.
24,"사과는 다른 과일을 쉽게 익게 하는 에틸렌 가스를 내뿜기 때문에, 지퍼백에 담아 보관하면 좋습니다."
25,과일의 당도를 유지하며 보관하기 위해서는 냉장고 온도를 0 ~ 1도로 맞춰주면 좋습니다.
